# CSK vs DC - Match 18
# 2026-04-12
#
# id, name, ipl_team, fantasy_team, playing, mom, runs, 4s, 6s, wkts, dots, maidens, lbw_b_hw, catches, ro_direct, ro_indirect, stumpings

# --- CSK ---
5, Sanju Samson, CSK, RK, 1, 1, 115, 15, 4, 0, 0, 0, 0, 0, 0, 0, 0
3, Shivam Dube, CSK, Prabhu, 1, 0, 20, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
2, Dewald Brevis, CSK, Dots, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0
6, Noor Ahmad, CSK, Dots, 1, 0, 0, 0, 0, 1, 4, 0, 0, 1, 0, 0, 0
64, Matt Henry, CSK, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
130, Urvil Patel, CSK, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
62, Jamie Overton, CSK, JD, 1, 0, 0, 0, 0, 4, 13, 0, 1, 1, 0, 0, 0
136, Akeal Hosein, CSK, JD, 1, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0
61, Ayush Mhatre, CSK, Rijo, 1, 0, 59, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0
1, Ruturaj Gaikwad, CSK, Prakash, 1, 0, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
63, Khaleel Ahmed, CSK, Prakash, 1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0
126, Sarfaraz Khan, CSK, Prakash, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
135, Prashant Veer, CSK, Prakash, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

# --- DC ---
71, Lungi Ngidi, DC, Ragu, 1, 0, 3, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0
66, Ashutosh Sharma, DC, RK, 1, 0, 19, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0
69, Mukesh Kumar, DC, RK, 1, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0
12, Mitchell Starc, DC, Darshan, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68, Tristan Stubbs, DC, Darshan, 1, 0, 60, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0
70, T Natarajan, DC, Darshan, 1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0
8, David Miller, DC, Prabhu, 1, 0, 17, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
10, KL Rahul, DC, Prabhu, 1, 0, 18, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0
11, Kuldeep Yadav, DC, Prabhu, 1, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
137, Karun Nair, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
139, Ben Duckett, DC, Prabhu, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, Axar Patel, DC, Dots, 1, 0, 1, 0, 0, 1, 5, 0, 0, 0, 0, 0, 0
67, Abishek Porel, DC, Dots, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
145, Auqib Nabi Dar, DC, Dots, 1, 0, 4, 1, 0, 0, 4, 0, 0, 0, 0, 0, 0
140, Pathum Nissanka, DC, JD, 1, 0, 41, 5, 2, 0, 0, 0, 0, 1, 0, 0, 0
147, Vipraj Nigam, DC, Rijo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

